date,kickoff_gmt2,league,group,home_team,away_team,home_score,away_score,result,official_source
2026-09-25,18:00,B,B2,Georgia,Northern Ireland,0,1,A,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-25,18:00,C,C2,Armenia,Latvia,2,0,H,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-25,20:45,A,A1,Italy,Belgium,0,2,A,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-25,20:45,A,A1,Turkey,France,0,1,A,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-25,20:45,B,B2,Hungary,Ukraine,0,1,A,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-25,20:45,B,B4,Poland,Bosnia and Herzegovina,0,0,D,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-25,20:45,B,B4,Sweden,Romania,2,1,H,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-25,20:45,C,C2,Montenegro,Cyprus,2,1,H,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
