date,kickoff_utc,understat_id,division,league,home_team,away_team,b_lambda_home,b_lambda_away,p_B_H,p_B_D,p_B_A,p_bayes_H,p_bayes_D,p_bayes_A,sd_bayes_H,sd_bayes_D,sd_bayes_A,bayes_lambda_home,bayes_lambda_away,b_top_selection,b_top_probability,b_min_odds_ev1pct,bayes_top_selection,bayes_top_probability,bayes_mean_sd,model_direction_agreement
2026-09-14,2026-09-14 16:30:00,31596,I1,意甲,Como,Parma Calcio 1913,2.329140997617641,0.6164852681827256,0.7590635084425935,0.1598824421254594,0.08105404943194705,0.6271296445917552,0.21406067000770804,0.15880968540053672,0.1406702696789409,0.06343073064405423,0.08821944933589693,2.179996647241544,0.9491666340664412,H,0.7590635084425935,1.330586951903754,H,0.6271296445917552,0.09744014988629734,True
2026-09-14,2026-09-14 16:30:00,31594,I1,意甲,Torino,Roma,1.2807913682349867,2.6099660938528437,0.16868162007883636,0.17207487716423805,0.6592435027569257,0.2302773192341668,0.22587193609278855,0.5438507446730446,0.10284880644968256,0.04655993183659941,0.13480896810590282,1.2593696398767935,2.0724260979024973,A,0.6592435027569257,1.532059088601142,A,0.5438507446730446,0.0947392354640616,True
2026-09-14,2026-09-14 18:45:00,31599,I1,意甲,Inter,Udinese,2.8184612905484125,0.9433882345851852,0.7614563668676937,0.14049545955643847,0.09804817357586798,0.7324974200231502,0.15684638442379786,0.11065619555305195,0.11886895616314448,0.05663163404420638,0.06781450041932656,2.891537803687734,1.0096843883344724,H,0.7614563668676937,1.3264056142241067,H,0.7324974200231502,0.08110503020889248,True
2026-09-14,2026-09-14 19:00:00,31219,E0,英超,Leeds,Newcastle,1.4115891603350215,0.9934129194987142,0.4661666183037157,0.2687737759730633,0.26505960572322096,0.4131867976981401,0.26002984573645793,0.3267833565654019,0.12556478248952255,0.03829474705069466,0.11536014191111614,1.5834505872981024,1.3752514035340428,H,0.4661666183037157,2.1666073037901814,H,0.4131867976981401,0.09307322381711113,True
2026-09-14,2026-09-14 19:00:00,30819,SP1,西甲,Villarreal,Betis,2.4506614359448387,1.512147894998661,0.5823230898598105,0.1888394075365744,0.22883750260361505,0.5471538594896511,0.2203183413045119,0.23252779920583705,0.13357427000515884,0.04497928613092355,0.10227038232316896,2.145952496060025,1.315846264639455,H,0.5823230898598105,1.7344323410619853,H,0.5471538594896511,0.09360797948641712,True
2026-09-15,2026-09-15 17:00:00,30829,SP1,西甲,Vallecano,Espanyol,1.7596048616280995,1.1160632873742293,0.5244094982218943,0.23489160345734528,0.24069889832076044,0.4544650511651353,0.2559418502699973,0.28959309856486753,0.13761864294908324,0.04494410209669474,0.11743193606706871,1.6802247510793131,1.2778589094130512,H,0.5244094982218943,1.925975794535737,H,0.4544650511651353,0.09999822703761557,True
2026-09-15,2026-09-15 18:00:00,30821,SP1,西甲,Alaves,Valencia,1.2846496856895488,1.156817815236309,0.39418379173790846,0.2731440214734716,0.3326721867886201,0.5209437969891353,0.2568073617327651,0.22224884127809968,0.12355039972431806,0.04743950799095919,0.09094041097036033,1.7364275931008513,1.0329708916945393,H,0.39418379173790846,2.5622565442050083,H,0.5209437969891353,0.08731010622854586,True
2026-09-15,2026-09-15 19:30:00,30825,SP1,西甲,Elche,Real Madrid,1.2102332060689287,2.8838862306204036,0.13198470123486014,0.15026384756611724,0.7177514511990225,0.19214028930106253,0.20100189579894098,0.6068578148999965,0.09269912150610213,0.0482491456247033,0.13074639587794107,1.2550243579444598,2.3946091753151433,A,0.7177514511990225,1.407172355155491,A,0.6068578148999965,0.09056488766958216,True
2026-09-16,2026-09-16 17:00:00,30822,SP1,西甲,Ath Madrid,Osasuna,1.6917081599161239,1.2507717989231069,0.47745267384487095,0.23922199533623073,0.28332533081889827,0.4803149012935944,0.25658728249586255,0.2630978162105431,0.12484276687090733,0.042031082646571113,0.1018657457290109,1.709761607956447,1.1919953672169896,H,0.47745267384487095,2.1153929076710103,H,0.4803149012935944,0.0895798650821631,True
2026-09-16,2026-09-16 17:00:00,30824,SP1,西甲,La Coruna,Sevilla,1.5190074331978347,0.9570978796133006,0.5033340081388892,0.25858548666291387,0.23808050519819696,0.4506317769722352,0.2745122349698879,0.2748559880578768,0.13117508231761874,0.046407573008423623,0.11034892881598254,1.5217029152643995,1.1185758477468493,H,0.5033340081388892,2.0066198263346875,H,0.4506317769722352,0.0959771947140083,True
