date,kickoff_gmt2,league,group,home_team,away_team,home_score,away_score,result,official_source
2026-09-24,18:00,D,D1,Andorra,Malta,1,2,A,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-24,20:45,A,A2,Netherlands,Germany,1,1,D,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-24,20:45,A,A2,Serbia,Greece,1,2,A,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-24,20:45,A,A4,Norway,Denmark,3,2,H,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-24,20:45,A,A4,Portugal,Wales,1,0,H,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-24,20:45,B,B3,Austria,Israel,3,1,H,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-24,20:45,B,B3,Kosovo,Republic of Ireland,1,0,H,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
2026-09-24,20:45,D,D2,Liechtenstein,Lithuania,0,2,A,https://www.uefa.com/uefanationsleague/news/02a2-1fea18abbcbc-456e846509e7-1000--2026-27-uefa-nations-league-all-the-league-phase-fixtures/
